dataset,split_mode,model,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std
assist2012,learner_based,bkt,0.4999969579204344,6.802296701638239e-06,0.28965710953700835,0.0003760605063126764,24.534314723887867,0.012878264583112583,0.8428176148709199,0.00022163308011351844
assist2012,learner_based,dkt,0.6982677606468934,0.0011499424968662451,0.7183788334284407,0.0009714851576757872,0.5822984721482651,0.004094912238396423,0.4396447492356961,0.000893431592005921
assist2012,learner_based,simplekt,0.6835216046746148,0.002066233743969086,0.699638372642437,0.0026401003194068424,0.6989045188674585,0.005573730587339801,0.46033678832144564,0.0018109475182992178
assist2012,temporal,bkt,0.500010316933194,0.0,0.3124731326601771,0.0,23.712702054927192,0.0,0.829051060440277,0.0
assist2012,temporal,dkt,0.6339354702050599,0.06603232973154952,0.6783672217633523,0.03206644256620498,0.6659897944749086,0.070568795191482,0.46941626456496593,0.023639579893570788
assist2012,temporal,simplekt,0.6451694252410399,0.07040179956676602,0.6620645883937066,0.04163340062258855,0.8158432682488566,0.13801734184823844,0.4896224242310816,0.03146471323176862
junyi,learner_based,bkt,0.5,0.0,0.2949003904748873,0.0019942625900016193,24.3532777495267,0.0688793896688017,0.83970153638935,0.0011869986161027347
junyi,learner_based,dkt,0.7319380797746224,0.0010246192513544438,0.7339961041052676,0.001324358096067685,0.5440677911065921,0.002295104830992854,0.42497475698299925,0.0008463927298227378
junyi,learner_based,simplekt,0.7237513677953648,0.0030323963347857045,0.727808117808901,0.0026228158361129485,0.6047091300794392,0.01794918356956974,0.4335297108166917,0.0030582018046004596
junyi,temporal,bkt,0.5000521464566869,0.0,0.3012433147496738,0.0,24.126316670219172,0.0,0.8359026933188993,0.0
junyi,temporal,dkt,0.662473253255461,0.07944641221290971,0.7001687163935496,0.03746945410825553,0.6641968089082617,0.08241009527681603,0.4577337802141774,0.028820876846484246
junyi,temporal,simplekt,0.6774013159076128,0.08704130849502979,0.6967127283491336,0.047471097365503666,0.7251288317395866,0.131594801249348,0.46015977310878425,0.03515820348016458
xes3g5m,learner_based,bkt,0.5000004272603452,4.801071971303041e-06,0.18969136936999517,0.002820813371665453,27.98704232986842,0.09747918778912527,0.9001707749064135,0.0015684427022831801
xes3g5m,learner_based,dkt,0.81772452625931,0.0023522735161601587,0.8329585729517393,0.0027478870233924382,0.39170903862918427,0.007301245203889385,0.34904895515090056,0.002695302641966491
xes3g5m,learner_based,simplekt,0.7561286157974133,0.0010688444182685773,0.8071993209661107,0.0031367355652610735,0.6179962839011585,0.012386879258693233,0.392478454618103,0.0031341920751571913
xes3g5m,temporal,bkt,0.49996890791010223,0.0,0.33725496011150985,0.0,21.47286739691042,0.0,0.8214091975274042,0.0
xes3g5m,temporal,dkt,0.6389899081918133,0.009588909159653504,0.7155913934557625,0.012684884824060402,0.6664448554457746,0.07592173609540229,0.44230315215680877,0.013478308891223938
xes3g5m,temporal,simplekt,0.6464020621734303,0.005232222063611768,0.7156564573912946,0.009259233995645455,0.893031975542984,0.1815008898631315,0.45782293477651076,0.018451995242277065
