dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,learner_based,bkt,dense,0.5,0.0,0.28859020393434087,0.0006602170533974679,24.57122387146081,0.022803089179400795,0.8434510498942341,0.00039130865704773543,0.7114097960656591,0.0006602170533974257,0.7114097960656591,0.0006602170533974257,0.20530554941823032,0.00027948796752733167,0.5061042466474288,0.0009397048878334262,0.0,0.0
assist2012,learner_based,bkt,medium,0.5,0.0,0.44750544530771486,0.021543569789809706,19.08248588392259,0.7440885397183886,0.7431845828278505,0.014630043543941271,0.5524945546922851,0.021543569789809706,0.5524945546922851,0.021543569789809706,0.24687302140822798,0.0018556202639639682,0.30562153328405717,0.023374529731298666,0.0,0.0
assist2012,learner_based,bkt,sparse,0.5,0.0,0.5057266009852217,0.06055704600445356,17.071598406523897,2.0915662710841416,0.7019653335670967,0.043561299980774855,0.4942733990147783,0.0605570460044536,0.4942733990147783,0.0605570460044536,0.24703348138452763,0.002069149509130961,0.24723991763025066,0.05872975814294446,0.0,0.0
assist2012,learner_based,bkt,strict_cold_start,,0.0,0.0,0.0,0.6931471805599453,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,very_sparse,0.5,0.0,0.611111111111111,0.09622504486493759,13.431746375798602,3.3234953081803287,0.6206024398552658,0.07491495713052959,0.38888888888888884,0.09622504486493763,0.38888888888888884,0.09622504486493763,0.23148148148148148,0.0160375074774896,0.1574074074074074,0.08018753738744802,0.0,0.0
assist2012,learner_based,dkt,dense,0.6971486822995716,0.0011502631101588615,0.7188148598453563,0.0009575693902352948,0.5793790796187273,0.0030922862639947146,0.43907405065448407,0.0007938519322383946,0.05961008855577021,0.0018648876037112385,0.19278657338391547,0.0006983221365445567,0.2102102679824908,0.00021731276337217252,0.005134213958358713,0.0004143800932603905,0.022350573899563315,0.0002909651379247249
assist2012,learner_based,dkt,medium,0.7474106123981769,0.010930321173911685,0.6820482733974622,0.012149144419151848,0.7943041973380263,0.08597705480770684,0.4820908102351778,0.01294712842592987,0.15974307780027852,0.022656778116173715,0.23255822393087805,0.012520051517468376,0.24902886268537452,0.0006623204810361667,0.02943993598471754,0.008121857079446012,0.04507701801906526,0.004532779731339374
assist2012,learner_based,dkt,sparse,0.7328306480060126,0.015165589099136245,0.7007214805626429,0.022196593973514967,1.140319235406067,0.12731739115477197,0.49898637432518256,0.012047819756184084,0.22589328790054142,0.01635111609490252,0.24911440797795897,0.011951847726698401,0.23716916457433637,0.011101229284002364,0.058894284746658615,0.00853586254939216,0.046135808429877356,0.005908506042922444
assist2012,learner_based,dkt,strict_cold_start,,0.0,0.5,0.7071067811865476,0.7013106811193742,0.137114344793306,0.5016990752603808,0.06801497856216492,0.5013766624033451,0.06782264013510185,0.2540149807715272,0.06824610369698556,0.0,0.0,0.2538825985160748,0.06813777333269311,0.0,0.0
assist2012,learner_based,dkt,very_sparse,0.891231684981685,0.0775086058333486,0.7679761904761905,0.06927443394158328,0.7040673055800186,0.3508708843772127,0.4152503958517405,0.07088727923610519,0.2198035425495417,0.05075974753651879,0.17682977181783754,0.05947427483374367,0.24811609977324262,0.002006255947211384,0.1071431219408125,0.0392820663489215,0.1778268982340411,0.04383193898403026
