dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,learner_based,irt_1pl,dense,0.5,0.0,0.6995129532899483,0.0005960466681029903,0.6113028607367742,0.0004951846423438894,0.458481946391834,0.00025546249172465495,0.0033489979208516595,0.0005412217889384157,0.21020574737611222,0.00023427049355629424,0.21019429725221847,0.0002377250124734849,1.14501238937261e-05,3.4755635631741918e-06,0.0,0.0
assist2012,learner_based,irt_1pl,medium,0.5,0.0,0.5250426456711257,0.013864608559934212,0.7559579852629841,0.011532043697889708,0.5278588075637779,0.005169258963843237,0.1711213096979711,0.01390643192548263,0.27865629771324174,0.005455087991013465,0.2492190840013743,0.0007224527210254187,0.029437213711867406,0.0047465937055954175,0.0,0.0
assist2012,learner_based,irt_1pl,sparse,0.5,0.0,0.6253357356352653,0.05029386075734399,0.6728058828252097,0.04169879571199325,0.4888647845548958,0.01999985873766265,0.07082821973383122,0.050308559386031494,0.23930877305752576,0.019731815914023496,0.2322673754288636,0.011510592890340182,0.0070413976286621644,0.008333307277319126,0.0,0.0
assist2012,learner_based,irt_1pl,strict_cold_start,,0.0,0.0,0.0,1.1915236678432282,0.0,0.6962419151353444,0.0,0.6962419151353444,0.0,0.4847528043913321,0.0,0.0,0.0,0.4847528043913321,0.0,0.0,0.0
assist2012,learner_based,irt_1pl,very_sparse,0.5,0.0,0.4925714285714286,0.043217532345574974,0.7828787061894943,0.035841451789703944,0.5396304966848463,0.015577955183055757,0.20359252679766807,0.04322444172174126,0.2913952111024822,0.01695964106321427,0.24845061224489795,0.0020040654070430865,0.04294459885758416,0.01876910083687277,0.0,0.0
assist2012,learner_based,dkt,dense,0.6969085037916658,0.0012351720184382538,0.7187626568161488,0.001242748288888042,0.5802923409648741,0.0037241715173402003,0.4392891415373339,0.0009699481410411982,0.06016708909028991,0.0020513978780547647,0.19297570251212484,0.0008533028039900199,0.21019429725221847,0.0002377250124734849,0.0052590219869598845,0.0004688320143068827,0.02226895171555825,0.0003403894956547044
assist2012,learner_based,dkt,medium,0.7454850125323904,0.010723284359831107,0.6806070078877593,0.012648439021761323,0.82014278401059,0.10100298409923956,0.4854552591384772,0.014631964265110079,0.16582211342886097,0.026974962142407407,0.23583808412781043,0.014177825774707638,0.2492190840013743,0.0007224527210254187,0.03164680108160356,0.009716004956521243,0.04416015184478429,0.004594768181473699
assist2012,learner_based,dkt,sparse,0.7332249083087803,0.010049929309905985,0.7050813095394981,0.02292154444785519,1.165241374312665,0.14334323253776976,0.4980024721723434,0.010631050280475817,0.23198372206987367,0.010873831404095926,0.24809687767381847,0.01053382666853638,0.2322673754288636,0.011510592890340182,0.062333682605929544,0.0060645812305357635,0.04573627838354222,0.0030555887856969425
assist2012,learner_based,dkt,strict_cold_start,,0.0,0.5,0.7071067811865476,0.7013106811193742,0.137114344793306,0.5016990752603808,0.06801497856216492,0.5013766624033451,0.06782264013510185,0.2540149807715272,0.06824610369698556,0.0,0.0,0.2538825985160748,0.06813777333269311,0.0,0.0
assist2012,learner_based,dkt,very_sparse,0.9045421245421246,0.06669818587046226,0.7801904761904762,0.061524104377887,0.7087528266687988,0.33894767732650977,0.40650060994467985,0.06876344969034187,0.2079257970322724,0.04242103817131719,0.1690254754960497,0.0538406649294571,0.24845061224489795,0.0020040654070430865,0.09518300864414267,0.03545334099077548,0.1732894770837628,0.031522420915958776
assist2012,learner_based,simplekt,dense,0.6825690736728685,0.0025161141879304896,0.700126918882623,0.0035230821100231432,0.6992238921218619,0.0052191742983343165,0.45972989227552385,0.0023187112715103426,0.11309861442119754,0.007640278394952126,0.21135587498923333,0.0021322350769767255,0.21019429725221847,0.0002377250124734849,0.019948536316736695,0.001698680675725925,0.01865743998827137,0.00042987144829460144
