dataset,split_mode,model,bucket,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,reliability_mean,resolution_mean
assist2012,learner_based,bkt,dense,0.7114097960656591,0.0006602170533974257,0.7114097960656591,0.0006602170533974257,0.20530554941823032,0.5061042466474288,0.0
assist2012,learner_based,bkt,medium,0.5524945546922851,0.021543569789809706,0.5524945546922851,0.021543569789809706,0.24687302140822798,0.30562153328405717,0.0
assist2012,learner_based,bkt,sparse,0.4942733990147783,0.0605570460044536,0.4942733990147783,0.0605570460044536,0.24703348138452763,0.24723991763025066,0.0
assist2012,learner_based,bkt,strict_cold_start,0.5,0.0,0.25,0.0,0.0,0.25,0.0
assist2012,learner_based,bkt,very_sparse,0.38888888888888884,0.09622504486493763,0.38888888888888884,0.09622504486493763,0.23148148148148148,0.1574074074074074,0.0
assist2012,learner_based,dkt,dense,0.05961008855577021,0.0018648876037112385,0.19278657338391547,0.0006983221365445567,0.2102102679824908,0.005134213958358713,0.022350573899563315
assist2012,learner_based,dkt,medium,0.15974307780027852,0.022656778116173715,0.23255822393087805,0.012520051517468376,0.24902886268537452,0.02943993598471754,0.04507701801906526
assist2012,learner_based,dkt,sparse,0.22589328790054142,0.01635111609490252,0.24911440797795897,0.011951847726698401,0.23716916457433637,0.058894284746658615,0.046135808429877356
assist2012,learner_based,dkt,strict_cold_start,0.5013766624033451,0.06782264013510185,0.2540149807715272,0.06824610369698556,0.0,0.2538825985160748,0.0
assist2012,learner_based,dkt,very_sparse,0.2198035425495417,0.05075974753651879,0.17682977181783754,0.05947427483374367,0.24811609977324262,0.1071431219408125,0.1778268982340411
assist2012,learner_based,simplekt,dense,0.11429579288975712,0.0060381665456875865,0.21162074318296437,0.0017288329093949066,0.2102102679824908,0.02014893092247045,0.018599797444649672
assist2012,learner_based,simplekt,medium,0.15954157927202556,0.006916737859362099,0.23413474742896104,0.007809633919147306,0.24902886268537452,0.02947908136509589,0.0437130785028708
assist2012,learner_based,simplekt,sparse,0.2269148446721979,0.01584778875481965,0.254558910402573,0.011520868108836796,0.23716916457433637,0.058943449591270396,0.04046378471825552
assist2012,learner_based,simplekt,strict_cold_start,0.5224095284938812,0.02252128440562963,0.27612267162347615,0.02691165185724601,0.0,0.2758393542173071,0.0
assist2012,learner_based,simplekt,very_sparse,0.2800666136713394,0.07602887674171299,0.23551393311308805,0.07462768638215529,0.24811609977324262,0.1167883857166659,0.12745803099017386
assist2012,temporal,bkt,dense,0.6883827344496503,0.0,0.6885808900224414,0.0,0.21386873717128144,0.4747121618039971,8.952837072534977e-09
assist2012,temporal,bkt,medium,0.6339869281045751,0.0,0.6341290139244103,0.0,0.23197127177347085,0.40231241941695545,0.00015467726601603538
assist2012,temporal,bkt,sparse,0.6211080586080586,0.0,0.6212225274725275,0.0,0.23516600920447073,0.3860592878388614,2.76957080469936e-06
assist2012,temporal,bkt,strict_cold_start,0.5124113475177305,0.0,0.5124113475177305,0.0,0.24984595845279411,0.2625653890649364,0.0
assist2012,temporal,bkt,very_sparse,0.7083333333333334,0.0,0.7083333333333334,0.0,0.2065972222222222,0.5017361111111112,0.0
assist2012,temporal,dkt,dense,0.10074938606203016,0.04209867285998009,0.21888589252494284,0.02382345287309699,0.21384905663077133,0.017885685933428156,0.012841036086867106
assist2012,temporal,dkt,medium,0.2630553470674292,0.03418114464164839,0.32650416032332347,0.020350336863414416,0.23474303506788138,0.09541074738874723,0.00373348186704375
assist2012,temporal,dkt,sparse,0.2853544943261847,0.04178284688127981,0.32926816326928826,0.02107672566245667,0.23402237253428315,0.10466293018151263,0.008941679956754116
assist2012,temporal,dkt,strict_cold_start,0.0919090169467483,0.07250892403761172,0.2646643272983494,0.0272786070343406,0.2499847195134087,0.01828509031651474,0.003938701151921036
assist2012,temporal,dkt,very_sparse,0.34994881747539514,0.08557203272506207,0.38159009158709517,0.06353494005117977,0.20415423085095455,0.1948744864499504,0.016639909304301568
assist2012,temporal,simplekt,dense,0.16271948080735127,0.04301609819556774,0.23916838019761952,0.0329274813804071,0.21384905663077133,0.03999926341494206,0.01460352587292603
assist2012,temporal,simplekt,medium,0.23678621553290694,0.017151815956201355,0.30023420466585904,0.017566117483922748,0.23474303506788138,0.0731386064615915,0.0077374660005632805
assist2012,temporal,simplekt,sparse,0.2900177995427087,0.03882343739180008,0.3272053510523349,0.029234058280136307,0.23402237253428315,0.10468802910708701,0.011360910287597501
assist2012,temporal,simplekt,strict_cold_start,0.1416837344829571,0.08072473699070822,0.27936765047955686,0.038773830445592544,0.2499847195134087,0.039086757021547264,0.009737981261685178
assist2012,temporal,simplekt,very_sparse,0.36424919356371,0.07036307951668254,0.39979943341869423,0.057000552207012334,0.20415423085095455,0.21269577264152295,0.016394020267829493
junyi,learner_based,bkt,dense,0.7051861926483776,0.001997260861724931,0.7051861926483776,0.001997260861724931,0.20789596697916302,0.4972902256692145,0.0
junyi,learner_based,bkt,medium,0.6029689223734477,0.011835985193331768,0.6029689223734477,0.011835985193331768,0.23930400732825305,0.3636649150451947,0.0
junyi,learner_based,dkt,dense,0.03951059639126018,0.001731848338930011,0.18050569477965453,0.000724581270884836,0.20786491028162893,0.0022796556152742467,0.02940050673025001
junyi,learner_based,dkt,medium,0.2493872884337146,0.021425400372055356,0.30482971224918026,0.017692879287487973,0.24028670430357743,0.07388071648291183,0.008806282837943966
junyi,learner_based,simplekt,dense,0.07882678058250032,0.005673920843279832,0.18792071453371872,0.002667454867022658,0.20782700458992412,0.008248805668805533,0.027997372144621665
junyi,learner_based,simplekt,medium,0.11003006614315392,0.0199424403327595,0.23100394397739574,0.013358666489607925,0.23975063973899563,0.01597768988981764,0.024817631100965944
junyi,temporal,bkt,dense,0.706783301062874,0.0,0.7068054758392875,0.0,0.20705215307963137,0.49975363170828435,3.089486281247293e-07
