dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_partitions
assist2012,dkt,dense,146.5,523971.25,0.6967696818413968,0.7185214609372095,0.5806101363867195,0.4394363633244142,0.0602388020242648,0.193105216874582,0.2102944369105567,0.005271715113781,0.0222521119165264,1.2909944487358056,11453.53544762489,0.0013733306867931,0.0013767496895824,0.0039937218417666,0.0010872027552644,0.0022098880391996,0.0009566649679569,0.0002683565004891,0.0005164126656357,0.0003888651631244,4
assist2012,dkt,medium,68.25,5963.0,0.7573819924906657,0.689695828740534,0.803747641893835,0.4790464816086529,0.1621433022447813,0.2296931318995456,0.2484088727909253,0.0301077688709703,0.0479231125844977,1.2583057392117911,539.0924472357841,0.0141243151189908,0.0161636766491773,0.0867149547023896,0.0151021159140831,0.0256265808722546,0.0144165955451886,0.0012768890377661,0.0085886127817736,0.0052792201688889,4
assist2012,dkt,sparse,38.5,415.25,0.7286631460664809,0.6977597065515926,1.156822043871583,0.5001066269656894,0.2332886695843713,0.2501869158116795,0.233673387001529,0.0623872965882742,0.0451222634279952,1.290994448735806,32.18048062620155,0.0106303425597464,0.0224392558228359,0.0687186231899608,0.0098591029188976,0.0083764600248707,0.0098207523184233,0.0129005393078571,0.0037589787214269,0.0036854221425175,4
assist2012,dkt,strict_cold_start,1.0,4.0,,0.5,0.7013106811193742,0.5016990752603808,0.5013766624033451,0.2540149807715272,0.0,0.2538825985160748,0.0,,,,,,,,,,,,1
assist2012,dkt,very_sparse,6.5,16.5,0.9369318181818184,0.8183899433899433,0.597391559243526,0.3664633158847727,0.1781888094438469,0.146407603916291,0.2458716219954981,0.0862180462982446,0.1848543984782746,0.5773502691896257,5.259911279353167,0.0529558459978154,0.0684523440395186,0.3957705160616279,0.1220552024910585,0.0665741665116925,0.0786465467843188,0.0061641368053217,0.0427860033532382,0.044962971340521,4
assist2012,irt_1pl,dense,146.5,523971.25,0.5,0.6992616950401619,0.61151147890224,0.4585895635896163,0.0031172296126271,0.2103044502129554,0.2102944369105567,1.0013302398699193e-05,0.0,1.2909944487358056,11453.53544762489,0.0,0.000673279698981,0.0005590605051867,0.0002883970428791,0.0006284180570921,0.0002645044033202,0.0002683565004891,3.86983133994897e-06,0.0,4
assist2012,irt_1pl,medium,68.25,5963.0,0.5,0.5363479538737099,0.746569499019177,0.5236187947003159,0.1597965115538248,0.2742144416779883,0.2484088727909253,0.0258055688870629,0.0,1.2583057392117911,539.0924472357841,0.0,0.0189720305808056,0.0157529114810589,0.0070992501554051,0.0189962726972514,0.0074530861016389,0.0012768890377661,0.006213781970796,0.0,4
assist2012,irt_1pl,sparse,38.5,415.25,0.5,0.6183985953177469,0.6785551172388247,0.4915925860195432,0.0777458701097878,0.2420294221827686,0.233673387001529,0.0083560351812396,0.0,1.290994448735806,32.18048062620155,0.0,0.0554783516368368,0.0459995095571812,0.0220952952273142,0.0555171428432891,0.0217667959875426,0.0129005393078571,0.0090268554799556,0.0,4
assist2012,irt_1pl,strict_cold_start,1.0,4.0,,0.0,1.1915236678432282,0.6962419151353444,0.6962419151353444,0.4847528043913321,0.0,0.4847528043913321,0.0,,,,,,,,,,,,1
assist2012,irt_1pl,very_sparse,6.5,16.5,0.5,0.4716949716949717,0.800173654820599,0.5469543006589289,0.224449493732563,0.2995798495449424,0.2458716219954981,0.0537082275494442,0.0,0.5773502691896257,5.259911279353167,0.0,0.0666053388966523,0.0552574030234968,0.0236880429934435,0.0666398510666641,0.0261459898405146,0.0061641368053217,0.0319191422561719,0.0,4
assist2012,simplekt,dense,146.5,523971.25,0.682201014831929,0.6996706427556917,0.699778273909553,0.4600259108973598,0.1135585221010694,0.2116281052247536,0.2102944369105567,0.0200637475247834,0.0186000894325188,1.2909944487358056,11453.53544762489,0.002448945016475,0.003271351783026,0.0053259976975703,0.0021106894466028,0.0065850633235312,0.0019435017739405,0.0002683565004891,0.0014586452400048,0.000432296679174,4
assist2012,simplekt,medium,68.25,5963.0,0.7546394710915263,0.6912112820508349,0.8028420458017153,0.476564499808474,0.1541182367155132,0.2271752155644496,0.2484088727909253,0.0273253235477683,0.0478426563217613,1.2583057392117911,539.0924472357841,0.0153235833624246,0.0129889053092584,0.0313204880365179,0.0090178583614868,0.0050626475126043,0.0086036791287602,0.0012768890377661,0.0020967995427165,0.0053479912891128,4
assist2012,simplekt,sparse,38.5,415.25,0.7167402282811565,0.6962010464306905,1.1446179886053702,0.502420951429226,0.2280319869219327,0.2525267097236207,0.233673387001529,0.059350655436641,0.0392458821757827,1.290994448735806,32.18048062620155,0.0224915214200798,0.0108112250651428,0.0852682323247746,0.0115128920470726,0.0197283742601393,0.0115535215121863,0.0129005393078571,0.0104343059275487,0.0088482814813001,4
assist2012,simplekt,strict_cold_start,1.0,4.0,,0.375,0.7471175574774,0.5251613287702392,0.5224095284938812,0.2761226716234761,0.0,0.2758393542173071,0.0,,,,,,,,,,,,1
assist2012,simplekt,very_sparse,6.5,16.5,0.8270833333333333,0.761030636030636,0.9107799829451672,0.4632752638122708,0.2451216575779887,0.2164862338141423,0.2458716219954981,0.0852230557504333,0.1148452409691171,0.5773502691896257,5.259911279353167,0.0502761542843474,0.0536022584548808,0.1743391153579259,0.0498179806534565,0.0511084085179809,0.0461429434352279,0.0061641368053217,0.0344218995294994,0.0276875686995607,4
junyi,dkt,dense,1295.0,3226541.25,0.7321813986569684,0.7344662614732376,0.5434404165057031,0.4246779740692019,0.0388750166466614,0.1803520678852705,0.2077837834674639,0.0022106363866658,0.0294053662598682,4.3204937989386,46505.32030764509,0.0009532951808731,0.0015404301256825,0.0022118052410779,0.0009455239958426,0.0021860789772982,0.0008032948717307,0.0007243933122583,0.0002028264462268,0.0002093238519782,4
junyi,dkt,medium,31.0,3706.25,0.6054111493480957,0.5838740973357373,1.071913045327268,0.5546287161075165,0.2513404662671113,0.3077382344034602,0.2432308296034613,0.0740727060125168,0.0091012078863634,4.320493798938574,1311.567605323238,0.0299186676800153,0.0171917279784829,0.0692731992872088,0.0128918360494841,0.0217052680905722,0.0144368506169166,0.0012949623871228,0.0122586513126212,0.0032890667522514,4
junyi,irt_1pl,dense,1295.0,3226541.25,0.5,0.7054602020374872,0.6061829649437434,0.4558425693937231,0.0025744717000414,0.2077929086792395,0.2077837834674639,9.125211775579066e-06,0.0,4.3204937989386,46505.32030764509,0.0,0.0017595117697811,0.0015156251377846,0.0007836732042575,0.0018247583369731,0.0007141888869375,0.0007243933122583,1.0257622709639062e-05,0.0,4
junyi,irt_1pl,medium,31.0,3706.25,0.5,0.5819607561296296,0.7125227638790208,0.5078348093165681,0.1209249742078161,0.2579042806298504,0.2432308296034613,0.014673451026389,0.0,4.320493798938574,1311.567605323238,0.0,0.0082949664414067,0.007093829968909,0.0032837125849395,0.0082139425554388,0.0033454396323033,0.0012949623871228,0.0020513629984804,0.0,4
junyi,simplekt,dense,1295.0,3226541.25,0.7220206507530887,0.7268201023506421,0.6137757262213304,0.4350126390312321,0.08172899974898334,0.18924768449323937,0.20778378346746398,0.009140628538583561,0.02753962131820234,4.320493798938574,46505.32030764509,0.0034904572815962274,0.003541440569052093,0.022856708691349405,0.0039476347270791575,0.007030922928611468,0.0034414778639115977,0.0007243933122583106,0.002171461105101343,0.0008583644082146486,4
junyi,simplekt,medium,31.0,3706.25,0.680912827273564,0.6377481110590418,0.6972640074264399,0.4843634182361338,0.11361233070871968,0.23465407490744156,0.24323082960346135,0.016339131515160848,0.025082961623449328,4.320493798938574,1311.567605323238,0.019896866672951825,0.014525575662483907,0.021114896257941617,0.0076393010937947465,0.015517695821609851,0.007392072574520024,0.0012949623871228283,0.004013641721200733,0.004511457226752681,4
xes3g5m,dkt,dense,498.0,1268695.625,0.8169473619350158,0.8325851592746832,0.3915751413263235,0.3493926591954629,0.0388126095641988,0.1220826534999121,0.1613833143356923,0.0027086728379776,0.041474992447582,0.816496580927726,1946.3852554157857,0.0020089910040349,0.0031477925100673,0.0072594487472409,0.003050391413461,0.0022669290065069,0.0021329724873379,0.0021355642060511,0.0003702172737766,0.0003815609911628,4
