dataset,model,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,n_events_std,auc_std,acc_std,nll_std,rmse_std,n_partitions
assist2012,dkt,530367.0,0.6979473616478846,0.7181708466184741,0.583620624385567,0.4399660187583843,11255.448014184065,0.001446476492270587,0.0014077454544216955,0.004941512914710795,0.0011880523762530933,4
assist2012,irt_1pl,530367.0,0.5,0.697339060915028,0.6131053952440135,0.4594112248185022,11255.448014184065,0.0,0.0004109241116091601,0.00034095423641175565,0.000175582866583663,4
assist2012,simplekt,530367.0,0.6836993069133164,0.699562724306728,0.7013132283099511,0.4602587323070484,11255.448014184065,0.0024611115727062004,0.0031539335269877315,0.005454620709568612,0.0020201540634383255,4
junyi,dkt,3230247.5,0.7319568947820355,0.7342969771638137,0.5440371216214309,0.4248466092675347,45979.52180047111,0.0009206125743381672,0.0015210701477473085,0.0021411042110556226,0.0009212249805788092,4
junyi,irt_1pl,3230247.5,0.5,0.7053167760107205,0.60630642118843,0.4559063854263642,45979.52180047111,0.0,0.0017506373627434334,0.0015080456998124193,0.0007796760968518203,4
junyi,simplekt,3236450.5,0.7231217337939033,0.7274087913035094,0.6070360882795686,0.4340428094541203,49989.29742454882,0.0030489266207893747,0.0014619064762383103,0.014500176065057794,0.0023571550488375678,4
xes3g5m,dkt,1283802.125,0.817120666413564,0.8326793917304767,0.3932076739606433,0.3494551993646986,1687.5129814315426,0.002230409739684112,0.0032052468023219677,0.008307735346702018,0.003168608313757173,4
xes3g5m,irt_1pl,1284322.25,0.5,0.7960509590599758,0.5625344915635995,0.4315087980142565,1452.2695743789034,0.0,0.0030924301296028855,0.001635874334044651,0.0009275413321205726,4
xes3g5m,simplekt,1283802.125,0.7557059332327988,0.8067108821504856,0.6201672718149345,0.39298036740342973,1687.5129814315426,0.001324992686989232,0.003660089691216917,0.015161597137504172,0.0037168110099781537,4
