dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,learner_based,irt_1pl,dense,0.5,0.0,0.6993260318449025,0.0005541934192207138,0.6114578427025166,0.0004604332685173393,0.4585619252325179,0.00023749210039902875,0.003162076475805775,0.0004979239706990203,0.21027908439495158,0.0002178287401293873,0.2102688873246882,0.0002208259471037947,1.0197070263321614e-05,3.021532262333307e-06,0.0,0.0
assist2012,learner_based,irt_1pl,medium,0.5,0.0,0.5326508863233645,0.014476220771091989,0.7496502970806034,0.012040309465926668,0.5250218804420879,0.005421790060394329,0.16351306904573204,0.014521406272754986,0.27567149158891313,0.005695541448623036,0.24876627084804798,0.0009354620373503609,0.02690522074086506,0.004768651273472678,0.0,0.0
assist2012,learner_based,irt_1pl,sparse,0.5,0.0,0.6255645717639408,0.05056965915266995,0.6726155619774179,0.041927517751134395,0.4887692756657095,0.020104052203557272,0.0705993836051559,0.050581175167652766,0.239218743166785,0.019840044037098,0.2321877059762844,0.011535877728607655,0.007031037190500573,0.008406009249285145,0.0,0.0
assist2012,learner_based,irt_1pl,very_sparse,0.5,0.0,0.4023376623376623,0.08324831216897301,0.8577196677561301,0.06912277660802073,0.5710800999704434,0.029068393472262755,0.29382629303143437,0.08334210134861708,0.3268084577814982,0.032703725689399055,0.2349178426191413,0.01276066009476882,0.09189061516235687,0.0451296770671134,0.0,0.0
assist2012,learner_based,dkt,dense,0.6967321826130857,0.0012097445253098857,0.7185944389810652,0.0012196746376662857,0.580661077664016,0.0038201014965625686,0.4394262537526183,0.0009744210218985694,0.06027949281975994,0.0020915863154344883,0.19309619208412285,0.0008574694869436397,0.2102688873246882,0.0002208259471037947,0.0052803582981860425,0.0004763479486093271,0.022246556783488323,0.00033401625855570405
assist2012,learner_based,dkt,medium,0.7637707918825287,0.008845059083404464,0.6933592282230021,0.010751781315192563,0.800577395595601,0.09768563008509817,0.4768344957592866,0.013663222306515052,0.16112783231748432,0.025173607045452958,0.22752048326105098,0.013010129161082113,0.24876627084804798,0.0009354620373503609,0.02977351714077272,0.008868859948275794,0.050015790542114726,0.0040871733140955355
assist2012,learner_based,dkt,sparse,0.7333343635177166,0.011986796820277293,0.7053763461299749,0.024097191933535708,1.1663030409053274,0.14390216639606349,0.49747889211180063,0.011670025578954364,0.23160449867582772,0.011577796160364537,0.24759419969439528,0.01156120197503054,0.2321877059762844,0.011535877728607655,0.06213780842220915,0.006262224576552843,0.04598809703286873,0.002794669880030588
assist2012,learner_based,dkt,very_sparse,0.8863891663891664,0.06817202213618544,0.7675324675324675,0.1127598643877114,0.5354097352037418,0.2611442943543734,0.39011750556898617,0.1133182025426134,0.20342725937431055,0.07472312637915657,0.16246448017335893,0.07335057859667753,0.2349178426191413,0.01276066009476882,0.10747894877700157,0.06467344290521969,0.17858054103183973,0.05391655307660936
assist2012,learner_based,simplekt,dense,0.682480693986163,0.0025234710458053537,0.6999895642399501,0.003508384257812713,0.6995093302892437,0.00520621102464116,0.4598308695382599,0.002313597950611738,0.11315464121639951,0.007646697811841326,0.21144871076869381,0.0021279212106643354,0.2102688873246882,0.0002208259471037947,0.019963724308460627,0.0017056502638139628,0.018654956072857533,0.00043352185801663097
assist2012,learner_based,simplekt,medium,0.7570666161686948,0.010553360641360978,0.6920500561782728,0.009692312204383227,0.8017615919573631,0.030858190996964893,0.4758428244894898,0.007162657037032276,0.15343645950822277,0.005918038271400337,0.2264674365427995,0.006797126182973956,0.24876627084804798,0.0009354620373503609,0.02722086103292854,0.002032705175384958,0.04881243355343777,0.004005590223525451
assist2012,learner_based,simplekt,sparse,0.7189165477319046,0.018524179821069478,0.6988229135089964,0.010251777099483906,1.1220939239995746,0.08232824124966137,0.4993694665552308,0.012109529361883562,0.22567640903390918,0.01993609205150301,0.24948717668874884,0.012128563171839479,0.2321877059762844,0.011535877728607655,0.058408113686021855,0.009861583074424904,0.039906999877761085,0.006409870780156806
assist2012,learner_based,simplekt,very_sparse,0.8292840492840492,0.10293426398122646,0.766089466089466,0.07872072152754825,0.7681810198213949,0.391126967283356,0.4327595925768136,0.09720878572543394,0.22199910421476815,0.08325682610317818,0.19484050338502046,0.07571479267947781,0.2349178426191413,0.01276066009476882,0.07502236626899096,0.04022927033887837,0.11281611101740974,0.03737418474740754
assist2012,temporal,irt_1pl,dense,0.5920936799411896,0.0005623213738698807,0.6925202382390097,0.00022543326968605697,0.6031748715690617,0.0001481656558628777,0.45544791132663065,7.313737053216276e-05,0.02036048970786524,0.0008013407514737103,0.20743280421105034,6.662325289766245e-05,0.2138490566307713,0.0,0.0007083075998020943,5.486130789787713e-05,0.0070082974234960665,6.16909082721095e-05
assist2012,temporal,irt_1pl,medium,0.5353772048969093,0.0020600917270058063,0.6037735849056605,0.000676219175402507,0.6798036975200865,0.0006880486560738914,0.4924660065450153,0.0003031110512276258,0.0855574493419729,0.0004426942158300695,0.24252284110344252,0.00029852252380953753,0.23474303506788136,0.0,0.010083308330919066,0.00033475919173405275,0.002782349198328382,0.0001646616189690779
assist2012,temporal,irt_1pl,sparse,0.6486271116704584,0.00013211885414748652,0.5886468646864687,0.000759793031895799,0.679354198374347,0.0004977765504947072,0.4920475002773764,0.0002210469300444541,0.13921442614733495,0.0016492541044009336,0.24211078161861094,0.00021751564075702453,0.23402237253428315,0.0,0.026659510466826065,0.0004533963967769463,0.018333713525997032,0.0003602362034218716
assist2012,temporal,irt_1pl,very_sparse,0.46456679737032996,0.00038352550585814797,0.5137777777777778,0.0003142696805273722,0.73783585972402,0.000159974566556868,0.5197164384272568,6.829255514354073e-05,0.20123600420961968,0.0005886547572147444,0.2701051801026111,7.09857831711693e-05,0.24316622222222223,0.0,0.0438850155918169,0.0002296568078639915,0.016790936530577456,0.00019208862107147022
assist2012,temporal,dkt,dense,0.6622590983800007,0.0009470121986691692,0.6942654329152458,0.0007435981877552078,0.6272466270891723,0.0023689246842051944,0.45734242544556364,0.0006498077634647489,0.08357628495537757,0.0018727809721614842,0.20916243191253453,0.0005945472125304174,0.2138490566307713,0.0,0.010806169649701729,0.0004222808015421782,0.015408210751890491,0.0001993739629876025
assist2012,temporal,dkt,medium,0.5631174859623136,0.00783897547517451,0.5517332163229487,0.014437923259831014,1.137470999153408,0.039448649481273204,0.5777951068706186,0.008937374351366784,0.2758686626878508,0.015135401625082838,0.33391108685186677,0.01030538978271862,0.23474303506788136,0.0,0.10347613119762764,0.009921863099208846,0.004330483300819489,0.000911246574907783
assist2012,temporal,dkt,sparse,0.6190448752080486,0.01806877183272017,0.5635643564356435,0.028295013404319717,1.2763528098910295,0.06882939254985446,0.5800655560887248,0.010825182253934336,0.30051096128273297,0.021432899648520326,0.33656979701718626,0.012467218631264987,0.23402237253428315,0.0,0.11372898348948235,0.011725972540125024,0.010586904044943179,0.001848091029793725
assist2012,temporal,dkt,very_sparse,0.500789014718581,0.023983167463632507,0.4953777777777778,0.020109821935352996,1.0674363588663816,0.11445064049673885,0.5569314356310465,0.011429045866316876,0.17725573313114454,0.020048632300701613,0.31027712246558997,0.01277907011532598,0.24316622222222223,0.0,0.08430471168801953,0.014071397471359319,0.017002426006679137,0.003286578420381854
assist2012,temporal,simplekt,dense,0.6750517362291433,0.000714433537655061,0.680996279192809,0.0015451303479631345,0.7515592055819388,0.005608741103497553,0.4751071012458733,0.0005124495665334089,0.14516511306464203,0.0013461718376120537,0.2257269677379031,0.0004868477479456468,0.2138490566307713,0.0,0.029572650133489992,0.0005572033347807968,0.0175223770265807,0.00012538403845215176
assist2012,temporal,simplekt,medium,0.6085484097183604,0.014152622440989696,0.5932865291794647,0.02008112693631271,0.9756752372062062,0.036256382434564985,0.5422207945949991,0.009286127448848673,0.23168360783014985,0.013132267434928527,0.2940723758216291,0.01004736751750629,0.23474303506788136,0.0,0.06838709854983893,0.008309446193271305,0.009075799155200341,0.001937868298299001
assist2012,temporal,simplekt,sparse,0.6318103583090998,0.02616050784283771,0.5961716171617162,0.040224511259692175,1.4249353628301935,0.20399828233726536,0.5723656706889372,0.027966223242497423,0.2950276530026657,0.041180509661330675,0.32822814869715633,0.03256442601583997,0.23402237253428315,0.0,0.10803461704446178,0.028381890888335204,0.013495728251259368,0.005202502272203286
assist2012,temporal,simplekt,very_sparse,0.5220289692606754,0.054420543260605504,0.5140444444444444,0.04550902773009186,1.2735923378880616,0.12091524974008007,0.5696769388260894,0.022778176087453528,0.212231940846573,0.0452936857606128,0.32494689087496076,0.026070960234214093,0.24316622222222223,0.0,0.1008903560723848,0.024694719256230502,0.018909185984354492,0.0018157770231928437
junyi,learner_based,irt_1pl,dense,0.5,0.0,0.7051299107169843,0.0017001638760692445,0.6064670661660319,0.0014641464916488195,0.45598941382308017,0.000757019097179854,0.002188269353812511,0.0018056075170771481,0.20792680398104707,0.0006899503743440712,0.20791940728347766,0.0006996952067492051,7.396697569415427e-06,9.793858707261254e-06,0.0,0.0
junyi,learner_based,irt_1pl,medium,0.5,0.0,0.5761899121011724,0.009964352258423046,0.7175346370480048,0.008670493610553833,0.5101478609376306,0.0040201190528165315,0.1267517292619993,0.01013049806403281,0.2602637691049992,0.004080984554550566,0.24411566664127168,0.0016448842848487042,0.016148102463727464,0.0024361971377394004,0.0,0.0
junyi,learner_based,dkt,dense,0.7319100071628795,0.0012212352098395448,0.7341583544379398,0.0015108499780715917,0.5439819072715217,0.0026324660939876527,0.42489422210833966,0.0009689613685294786,0.038930788336160246,0.0018898063549399576,0.180535851089958,0.0008233258320207655,0.20791940728347766,0.0006996952067492051,0.002217854235373744,0.0001737565893885551,0.02936466158134699,0.0002493222002902909
junyi,learner_based,dkt,medium,0.5958694370393025,0.02529057445418161,0.5750402258681602,0.016072691796497125,1.070182759877802,0.06389711328593561,0.5584760978745325,0.010900981567576525,0.25313035242989906,0.014420435125803335,0.3119906170164736,0.012194510876958907,0.24411566664127168,0.0016448842848487042,0.07583672162253814,0.00932067666452714,0.0076151386751068,0.0030692790715987086
junyi,learner_based,simplekt,dense,0.722753183691379,0.0034453104266057555,0.7272190163045738,0.0031916171103067506,0.6099162860638343,0.02160098427265395,0.4343924143445145,0.0036849719888872464,0.0803547658933351,0.006817462863567327,0.1887076328549035,0.003211908186605789,0.20785314585190767,0.0006477120302598874,0.008742059616717226,0.0020816718162967604,0.02774109108315778,0.0008692777695379396
junyi,learner_based,simplekt,medium,0.6807891451099752,0.021342301985525225,0.6352017141754909,0.01961843418452544,0.6977206769921048,0.02528768974345581,0.4847005992954799,0.009674267398426658,0.1124622796979849,0.019429965348625566,0.23500954411715433,0.009391640784720287,0.24421427339734647,0.0016994040847034665,0.01593628905265549,0.004827206614740763,0.02532753297205345,0.005045679856675727
junyi,temporal,irt_1pl,dense,0.6483959172153851,9.959402995897703e-05,0.7207108771996055,8.130149002022287e-05,0.5692189058564973,1.2427641948586317e-05,0.43888270721590156,3.999716468222702e-06,0.023507740550760593,0.00014633525763510478,0.19261803070595693,3.510809986746643e-06,0.20704048484671117,0.0,0.0007754806699346091,1.2621212752246464e-05,0.01505277772277234,1.003814680462594e-05
junyi,temporal,irt_1pl,medium,0.6484533188871419,0.00017631155019053393,0.6219225974128776,0.00031894299650478663,0.6582934563868914,0.0001677921561525796,0.4825434241695691,6.866056170226731e-05,0.06307612960722617,0.0006680536219608195,0.2328481599807108,6.626805624166059e-05,0.24793404784229917,0.0,0.0051199056552842905,7.138151925331355e-05,0.020197503538489835,5.81209334318797e-05
