dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,learner_based,bkt,123,dense,147,464805,0.5,0.2892395735846215,24.548795438312123,0.8430660866239236,0.7107604264153785,0.7107604264153785,0.2055800426572078,0.5051803837581706,0.0
assist2012,learner_based,bkt,123,medium,67,2664,0.5,0.42117117117117114,19.992039489846952,0.7608080104920214,0.5788288288288288,0.5788288288288288,0.2437860157454752,0.3350428130833536,0.0
assist2012,learner_based,bkt,123,sparse,7,33,0.5,0.48484848484848486,17.792702991317626,0.7177405625652726,0.5151515151515151,0.5151515151515151,0.2497704315886134,0.26538108356290174,0.0
assist2012,learner_based,bkt,123,very_sparse,1,2,0.5,0.5,17.269388197455342,0.7071067811865468,0.5,0.5,0.25,0.25,0.0
assist2012,learner_based,bkt,2024,dense,147,456244,0.5,0.2887051665336969,24.567253203947875,0.8433829696325993,0.7112948334663031,0.7112948334663031,0.20535449335044725,0.5059403401158559,0.0
assist2012,learner_based,bkt,2024,medium,67,2798,0.5,0.43066476054324515,19.664142529339788,0.7545430666680025,0.5693352394567548,0.5693352394567548,0.24519262456947447,0.3241426148872803,0.0
assist2012,learner_based,bkt,2024,sparse,5,28,0.5,0.5714285714285714,14.802332740676007,0.6546536707079764,0.42857142857142855,0.42857142857142855,0.24489795918367344,0.18367346938775508,0.0
assist2012,learner_based,bkt,2025,dense,147,464805,0.5,0.2892395735846215,24.548795438312123,0.8430660866239236,0.7107604264153785,0.7107604264153785,0.2055800426572078,0.5051803837581706,0.0
assist2012,learner_based,bkt,2025,medium,67,2664,0.5,0.42117117117117114,19.992039489846952,0.7608080104920214,0.5788288288288288,0.5788288288288288,0.2437860157454752,0.3350428130833536,0.0
assist2012,learner_based,bkt,2025,sparse,7,33,0.5,0.48484848484848486,17.792702991317626,0.7177405625652726,0.5151515151515151,0.5151515151515151,0.2497704315886134,0.26538108356290174,0.0
assist2012,learner_based,bkt,2025,very_sparse,1,2,0.5,0.5,17.269388197455342,0.7071067811865468,0.5,0.5,0.25,0.25,0.0
assist2012,learner_based,bkt,2026,dense,147,451564,0.5,0.28777980529891667,24.599214048720466,0.8439313921765691,0.7122201947010833,0.7122201947010833,0.20496258896103428,0.5072576057400491,0.0
assist2012,learner_based,bkt,2026,medium,66,3212,0.5,0.47322540473225405,18.194149956472252,0.7257923912991545,0.526774595267746,0.526774595267746,0.2492831210482484,0.27749147421949755,0.0
assist2012,learner_based,bkt,2026,sparse,8,30,0.5,0.43333333333333335,19.571973290449385,0.7527726527090802,0.5666666666666667,0.5666666666666667,0.24555555555555555,0.32111111111111107,0.0
assist2012,learner_based,bkt,2026,very_sparse,2,5,,0.2,0.5545177444479564,0.4472135954999579,0.4,0.2,0.0,0.2,0.0
assist2012,learner_based,bkt,42,dense,147,456244,0.5,0.2887051665336969,24.567253203947875,0.8433829696325993,0.7112948334663031,0.7112948334663031,0.20535449335044725,0.5059403401158559,0.0
assist2012,learner_based,bkt,42,medium,67,2798,0.5,0.43066476054324515,19.664142529339788,0.7545430666680025,0.5693352394567548,0.5693352394567548,0.24519262456947447,0.3241426148872803,0.0
assist2012,learner_based,bkt,42,sparse,5,28,0.5,0.5714285714285714,14.802332740676007,0.6546536707079764,0.42857142857142855,0.42857142857142855,0.24489795918367344,0.18367346938775508,0.0
assist2012,learner_based,dkt,2024,dense,147,528018,0.6982264153361646,0.7184054331481123,0.5777643427245608,0.4387377084871527,0.05996899457254246,0.19249077684855778,0.21016467303289155,0.005112521955070835,0.022604368057434626
assist2012,learner_based,dkt,2024,medium,68,5677,0.7648153898347968,0.6910339968293112,0.7377061463303403,0.4704220488799966,0.14925907139618472,0.22129690407245395,0.2482201916208563,0.02515361591466085,0.0511236519295941
