dataset,split_mode,model,bucket,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,reliability_mean,resolution_mean
assist2012,learner_based,bkt,dense,0.7112661428928894,0.0005965231474921363,0.7112661428928894,0.0005965231474921363,0.20536633219526887,0.5058998106976205,0.0
assist2012,learner_based,bkt,medium,0.5646205463677826,0.021682500187354497,0.5646205463677826,0.021682500187354497,0.24544808033562954,0.31917246603215305,0.0
assist2012,learner_based,bkt,sparse,0.49082251082251077,0.06059400003683541,0.49082251082251077,0.06059400003683541,0.24697846742002585,0.24384404340248494,0.0
assist2012,learner_based,bkt,very_sparse,0.4666666666666666,0.05773502691896256,0.39999999999999997,0.17320508075688773,0.16666666666666666,0.2333333333333333,0.0
assist2012,learner_based,dkt,dense,0.058742481227550554,0.001314659210955268,0.1925598697864217,9.27298624952203e-05,0.21029010140494428,0.004937400458199259,0.022464347138750423
assist2012,learner_based,dkt,medium,0.1456758540778825,0.0070607128110909715,0.2194710099520889,0.006983106558545861,0.24799406457712866,0.024369641654903577,0.05192809603550059
assist2012,learner_based,dkt,sparse,0.21649459786667413,0.023162930162275292,0.2517386456000592,0.017208280952525332,0.24536876500403462,0.05363020991304742,0.04638703381647013
assist2012,learner_based,dkt,very_sparse,0.17801248444285078,0.09462416772262931,0.12679839641881738,0.08832248386714614,0.23936333027242118,0.10790298840140748,0.2208448117539026
assist2012,learner_based,simplekt,dense,0.11637170607794285,0.0011200913480083918,0.21216675635783958,0.0009232776305659945,0.21029010140494428,0.020510918352992045,0.01848160882766262
assist2012,learner_based,simplekt,medium,0.15585996414264228,0.005050887250007681,0.22566934945477812,0.007041322665869236,0.24799406457712866,0.027722266401633777,0.049120111714360065
assist2012,learner_based,simplekt,sparse,0.22971600064187495,0.00460483650378713,0.26365113955117275,0.005176939514973013,0.24536876500403462,0.059324424927014924,0.040261464606440554
assist2012,learner_based,simplekt,very_sparse,0.323109136233654,0.07280643251729113,0.25563995630679587,0.0828633800765811,0.23936333027242118,0.1826771072880149,0.16310070400979493
assist2012,temporal,bkt,dense,0.6883827344496503,0.0,0.6885808900224414,0.0,0.21386873717128144,0.4747121618039971,8.952837072534977e-09
assist2012,temporal,bkt,medium,0.6339869281045751,0.0,0.6341290139244103,0.0,0.23197127177347085,0.40231241941695545,0.00015467726601603538
assist2012,temporal,bkt,sparse,0.6211080586080586,0.0,0.6212225274725275,0.0,0.23516600920447073,0.3860592878388614,2.76957080469936e-06
assist2012,temporal,bkt,very_sparse,0.5804398148148148,0.0,0.5804398148148148,0.0,0.24352943619255832,0.3369103786222565,0.0
assist2012,temporal,dkt,dense,0.18661489159529304,0.0,0.2675031955869842,0.0,0.21384905663077133,0.05328326735206029,5.162761750174101e-06
assist2012,temporal,dkt,medium,0.19898876896532125,0.0,0.28946952768060674,0.0,0.23474303506788138,0.0550838283443452,0.0007484746981650589
assist2012,temporal,dkt,sparse,0.20957215954344327,0.0,0.2927599945297987,0.0,0.23402237253428315,0.059332663641663994,0.0007155595158088064
assist2012,temporal,dkt,very_sparse,0.20232983652161915,0.0,0.299449469583247,0.0,0.24316622222222223,0.058876342874568346,0.0033175239664003093
assist2012,temporal,simplekt,dense,0.2504913195208974,0.0,0.3063754424962014,0.0,0.21384905663077133,0.09213232982220242,9.27010465266964e-06
assist2012,temporal,simplekt,medium,0.2622992540466924,0.0,0.3310433488870087,0.0,0.23474303506788138,0.09689614602035436,0.0010458002273779753
assist2012,temporal,simplekt,sparse,0.2649685322429235,0.0,0.32209136282822753,0.0,0.23402237253428315,0.08795508942021316,0.0006868204692881782
assist2012,temporal,simplekt,very_sparse,0.23760450257231586,0.0,0.3222020965497182,0.0,0.24316622222222223,0.08086382499969613,0.0017683373610517725
junyi,learner_based,bkt,dense,0.7041386769759862,0.0,0.7041386769759862,0.0,0.20832740056249396,0.49581127641349226,0.0
junyi,learner_based,bkt,medium,0.5692829457364341,0.0,0.5692829457364341,0.0,0.24519987343008232,0.3240830723063518,0.0
junyi,learner_based,dkt,dense,0.04051606547312916,0.0,0.18067448024681124,0.0,0.20814344819217692,0.0024013119878846553,0.029639907365344255
junyi,learner_based,dkt,medium,0.23543743276469353,0.0,0.29799606530412265,0.0,0.24515111141322182,0.06429645718726228,0.01101994687169967
junyi,learner_based,simplekt,dense,0.0756703853679386,0.0,0.18656406925971414,0.0,0.20814344819217692,0.007365256335690428,0.028761972154504975
junyi,learner_based,simplekt,medium,0.09050313095165638,0.0,0.22442876276429216,0.0,0.24515111141322182,0.011166914591653735,0.031255142624262794
junyi,temporal,bkt,dense,0.706783301062874,0.0,0.7068054758392875,0.0,0.20705215307963137,0.49975363170828435,3.089486281247293e-07
junyi,temporal,bkt,medium,0.5445684117642661,0.0,0.5446001929303731,0.0,0.2479912642188895,0.29661900054895374,1.0071837470171384e-05
junyi,temporal,bkt,sparse,0.6397576782192167,0.0,0.6399337841645534,0.0,0.23032972014944186,0.40960873972654893,4.675711437319612e-06
junyi,temporal,bkt,very_sparse,0.5203252032520326,0.0,0.5203252032520326,0.0,0.24958688611276356,0.270738317139269,0.0
junyi,temporal,dkt,dense,0.1935085375563244,0.0,0.26348490699340116,0.0,0.20704048484671117,0.056085255362538236,6.476178876214208e-07
junyi,temporal,dkt,medium,0.2526497328232711,0.0,0.32967385293705426,0.0,0.24793404784229917,0.08129067014072709,2.80704394680102e-05
junyi,temporal,dkt,sparse,0.21388307901396908,0.0,0.2934830570977443,0.0,0.23055243601033337,0.06281683476509294,0.000492922458730168
junyi,temporal,dkt,very_sparse,0.29048842163308214,0.0,0.35966514321744303,0.0,0.24978288643320043,0.10967676691949084,0.0009104544240738995
junyi,temporal,simplekt,dense,0.22665458013858766,0.0,0.27971871410127114,0.0,0.20704048484671117,0.07231396142094479,9.956359940226702e-07
junyi,temporal,simplekt,medium,0.2639754097985397,0.0,0.3394372729174721,0.0,0.24793404784229917,0.09115347689417537,3.4250374692539574e-05
junyi,temporal,simplekt,sparse,0.24081891718804915,0.0,0.30836331057667193,0.0,0.23055243601033337,0.07756711628080727,0.00023306862503988062
junyi,temporal,simplekt,very_sparse,0.30837364070838374,0.0,0.3649132396852538,0.0,0.24978288643320043,0.11693686695024721,0.0015594550090713252
xes3g5m,learner_based,bkt,dense,0.8118682807076949,0.0,0.8118682807076949,0.0,0.15273817548842641,0.6591301052192685,0.0
xes3g5m,learner_based,bkt,medium,0.8472906403940886,0.0,0.8472906403940886,0.0,0.1293892110946638,0.7179014292994248,0.0
xes3g5m,learner_based,bkt,sparse,0.625,0.0,0.625,0.0,0.234375,0.390625,0.0
xes3g5m,learner_based,bkt,very_sparse,0.5,0.0,0.3333333333333333,0.0,0.13888888888888887,0.25,0.05555555555555555
xes3g5m,learner_based,dkt,dense,0.03739856544830952,0.0,0.12017823389999546,0.0,0.15953921158661158,0.0024259243293838647,0.041244245798567065
xes3g5m,learner_based,dkt,medium,0.07348045801337769,0.0,0.11290469730021367,0.0,0.16533525818279324,0.008739866098479548,0.060164912284322636
xes3g5m,learner_based,dkt,sparse,0.10464335933244065,0.0,0.1327843435545751,0.0,0.18563790440787067,0.014850112052601692,0.06708612795449215
xes3g5m,learner_based,dkt,very_sparse,0.1476029082194009,0.0,0.13771462699839276,0.0,0.2017643462311119,0.03288116828118353,0.09425637002496534
xes3g5m,learner_based,simplekt,dense,0.11436347046261228,0.0,0.1524283420591147,0.0,0.15953921158661158,0.017560297710434738,0.0237225616308762
xes3g5m,learner_based,simplekt,medium,0.10154678621220697,0.0,0.12737153630760922,0.0,0.16533525818279324,0.014179725357233433,0.051023288423465464
xes3g5m,learner_based,simplekt,sparse,0.11486967637611112,0.0,0.1418063905958079,0.0,0.18563790440787067,0.017905401801521937,0.06091345762908853
xes3g5m,learner_based,simplekt,very_sparse,0.18749007919160532,0.0,0.17363226946383295,0.0,0.2017643462311119,0.07833751109134779,0.10721235097818205
xes3g5m,temporal,bkt,dense,0.6892900551830692,0.0,0.6763597366610157,0.0,0.15661973426150425,0.5197400024464043,4.689290141755934e-11
