dataset,split,model,seed,bucket,rel_flag,n_events,ece,brier,unc,rel,res
assist2012,temporal,simplekt,2024,very_sparse,R,2250,0.183515292993861,0.3163544932243903,0.2431662222222222,0.0939181543809686,0.0208429367775668
assist2012,temporal,simplekt,2025,dense,R,521661,0.1447128826679682,0.2255054311130467,0.2138490566307713,0.0293393213309294,0.0175029975780828
assist2012,temporal,simplekt,2025,medium,R,4558,0.2287180730261173,0.2928344324392688,0.2347430350678813,0.0674418539009406,0.0092408851284991
assist2012,temporal,simplekt,2025,sparse,R,3030,0.3609556620028857,0.3804022627315349,0.2340223725342831,0.1540336007719059,0.0065177211600972
assist2012,temporal,simplekt,2025,very_sparse,R,2250,0.2760936376319292,0.3591497859786944,0.2431662222222222,0.1330278851149895,0.0170602809230326
assist2012,temporal,simplekt,2026,dense,R,521661,0.1437111255011366,0.2250208708141852,0.2138490566307713,0.0287769469286818,0.0174017008154732
assist2012,temporal,simplekt,2026,medium,R,4558,0.2516586460423248,0.3071652174668629,0.2347430350678813,0.0797507773123079,0.0071384770154405
assist2012,temporal,simplekt,2026,sparse,R,3030,0.2726607680507716,0.3133493189276707,0.2340223725342831,0.0976369081062188,0.0178898858445038
assist2012,temporal,simplekt,2026,very_sparse,R,2250,0.1818814459200896,0.3093466775421658,0.2431662222222222,0.0874261898313065,0.0208032441811915
assist2012,temporal,simplekt,2027,dense,R,521661,0.1473102758768759,0.226305399945871,0.2138490566307713,0.0302809773918124,0.0176999153140451
assist2012,temporal,simplekt,2027,medium,R,4558,0.2156420077298381,0.2792390908365136,0.2347430350678813,0.0565013336842468,0.012198616023934
assist2012,temporal,simplekt,2027,sparse,R,3030,0.2559419633056343,0.2954950632484776,0.2340223725342831,0.0782619603253635,0.0168147282417912
assist2012,temporal,simplekt,2027,very_sparse,R,2250,0.1754074705031864,0.2956349288956738,0.2431662222222222,0.0715010636902526,0.0184121037505878
junyi,learner_based,irt_1pl,42,dense,R,3264405,0.0017898084545865,0.208146651606481,0.2081434481921769,3.2034143041094548e-06,0.0
junyi,learner_based,irt_1pl,42,medium,R,4617,0.133164968321938,0.2628840202014046,0.2451511114132218,0.0177329087881827,0.0
junyi,learner_based,irt_1pl,2024,dense,R,3240308,0.0048608647905479,0.2068281655036138,0.2068045374971018,2.3628006511988524e-05,0.0
junyi,learner_based,irt_1pl,2024,medium,R,3618,0.1316642002232847,0.2622503289642048,0.2449148673437676,0.0173354616204372,0.0
junyi,learner_based,irt_1pl,2025,dense,R,3241826,0.000612153545148,0.2084751300819897,0.2084747553500269,3.74731962837384e-07,0.0
junyi,learner_based,irt_1pl,2025,medium,R,2668,0.1300768296939617,0.2615780592560797,0.2446580776328477,0.0169199816232319,0.0
junyi,learner_based,dkt,42,dense,R,3264405,0.0405160654731291,0.1806744802468112,0.2081434481921769,0.0024013119878846,0.0296399073653442
junyi,learner_based,dkt,42,medium,R,4617,0.2354374327646935,0.2979960653041226,0.2451511114132218,0.0642964571872622,0.0110199468716996
junyi,learner_based,dkt,2024,dense,R,3240308,0.0400390839782886,0.1795337353509029,0.2068045374971018,0.0022546381648057,0.0292793207946411
junyi,learner_based,dkt,2024,medium,R,3618,0.2400633846727605,0.3051988553359062,0.2449148673437676,0.0687092582744916,0.0084113784819395
junyi,learner_based,dkt,2025,dense,R,3241826,0.0394086282974244,0.1810869195682673,0.2084747553500269,0.0022566480024764,0.0293968200469095
junyi,learner_based,dkt,2025,medium,R,2668,0.2641220869893708,0.3231265745927405,0.2446580776328477,0.0831372767320445,0.004111968258948
junyi,learner_based,simplekt,42,dense,R,3264405,0.075102987051635,0.1866084636608035,0.2081434481921769,0.007261290641947,0.0286013256897542
junyi,learner_based,simplekt,42,medium,R,4617,0.0922210187538659,0.2233777980806222,0.2451511114132218,0.0107341854254202,0.0327133887154178
junyi,learner_based,simplekt,2024,dense,R,3264405,0.0746569046548032,0.1865303229865834,0.2081434481921769,0.0070438657327386,0.0284846748450561
junyi,learner_based,simplekt,2024,medium,R,4617,0.0949528978849893,0.2292549102380251,0.2451511114132218,0.0114118932755667,0.027181179881246
junyi,learner_based,simplekt,2025,dense,R,3240308,0.0785203878778274,0.1865534676719432,0.2068045374971018,0.0078698135513275,0.0279466250870372
junyi,learner_based,simplekt,2025,medium,R,3618,0.138565746894672,0.2481374076225149,0.2449148673437676,0.0221195191825249,0.019060738790667
