dataset,split_mode,model,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std
assist2012,learner_based,bkt,0.4999969579204344,6.802296701638239e-06,0.28965710953700835,0.0003760605063126764,24.534314723887867,0.012878264583112583,0.8428176148709199,0.00022163308011351844
assist2012,learner_based,dkt,0.6986658843181895,0.0010188510910313932,0.7185109702838103,0.00034821896979607826,0.580149692749273,0.0002933234979637695,0.43919395209217577,6.207690278274216e-05
assist2012,learner_based,simplekt,0.6826998021991625,0.0008042989417935006,0.6992086805332446,0.0008809862962122645,0.6954256734839802,0.004774790624063901,0.46081720619538485,0.0009173059713757039
assist2012,temporal,bkt,0.500010316933194,0.0,0.3124731326601771,0.0,23.712702054927192,0.0,0.829051060440277,0.0
assist2012,temporal,dkt,0.4991591767739604,0.0,0.6129230722917635,0.0,0.8100082536262357,0.0,0.5176589583327557,0.0
assist2012,temporal,simplekt,0.5014727003985071,0.0,0.5771186775516041,0.0,1.0974100242268519,0.0,0.5538443658001342,0.0
junyi,learner_based,bkt,0.5,0.0,0.2960517785180596,0.0,24.313510215359802,0.0,0.8390162224188153,0.0
junyi,learner_based,dkt,0.7326851543549266,0.00016804925439956367,0.7332674726569597,8.435906661508183e-06,0.5443116484735807,0.00013106467086692052,0.4252926322815349,5.59399916073115e-05
junyi,learner_based,simplekt,0.726001479150318,0.0010481397100112375,0.7285071804350047,6.186331551738648e-05,0.5942592354823661,0.0011854437402711224,0.4319769738964462,2.2002020273852306e-05
junyi,temporal,bkt,0.5000521464566869,0.0,0.3012433147496738,0.0,24.126316670219172,0.0,0.8359026933188993,0.0
junyi,temporal,dkt,0.5003439238620192,0.0,0.6236991287697168,0.0,0.8315886141809223,0.0,0.5165309658413278,0.0
junyi,temporal,simplekt,0.4997972176310175,0.0,0.5999485062971865,0.0,0.9902763460429759,0.0,0.531714404217783,0.0
xes3g5m,learner_based,bkt,0.5000031991605403,0.0,0.1880627720105304,0.0,28.04332196517886,0.0,0.9010763157227852,0.0
xes3g5m,learner_based,dkt,0.8188745609889909,0.0007060550547979249,0.8354087032193771,0.00047143319275132634,0.38633899283754547,0.00018079926559228906,0.3467860976828472,0.00027358731738377946
xes3g5m,learner_based,simplekt,0.756260933714354,0.00034136060632540777,0.8097899911261659,0.0004681248896441867,0.6077046610727795,0.0008357412745599703,0.3898683048222232,0.00028687724970308075
xes3g5m,temporal,bkt,0.49996890791010223,0.0,0.33725496011150985,0.0,21.47286739691042,0.0,0.8214091975274042,0.0
xes3g5m,temporal,dkt,0.49916454887114203,0.0,0.6598872350844857,0.0,0.8673512144835701,0.0,0.4925410528839153,0.0
xes3g5m,temporal,simplekt,0.49966483339417567,0.0,0.6551416539315276,0.0,1.250635036029349,0.0,0.5206916099166204,0.0
