config,dataset,subset_size,split,auc,acc,nll,brier,ece,p_pred_min,p_pred_max,p_pred_mean,p_pred_lt_001_rate,p_pred_gt_999_rate,slip_gt_05_rate,guess_gt_05_rate,note
original,assist2012,10000,learner_based,0.5,0.28,24.5,0.71,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Degenerate
smoothed,assist2012,10000,learner_based,0.5,0.28,24.5,0.71,0.71,0.0,0.5,0.01,0.9,0.0,0.0,0.0,Still Degenerate
