dataset,split_mode,model,seed,setting,bucket,auc,ece,brier,n_events
junyi_bkt_test,temporal,bkt,42,Alt_1,medium,0.5013199458483755,0.5882570162481536,0.5884416543574593,11160
junyi_bkt_test,temporal,bkt,42,Alt_1,sparse,0.5038363171355499,0.5839580209895053,0.5828335832083958,5133
junyi_bkt_test,temporal,bkt,42,Alt_1,very_sparse,0.5151515151515151,0.5508474576271186,0.5466101694915254,434
junyi_bkt_test,temporal,bkt,42,Alt_2,medium,0.5021834061135371,0.7467320261437909,0.7459150326797385,2372
junyi_bkt_test,temporal,bkt,42,Alt_2,sparse,0.5022484250839022,0.5862179487179487,0.5860576923076923,12809
junyi_bkt_test,temporal,bkt,42,Alt_2,very_sparse,0.5050251256281407,0.5609065155807367,0.5594900849858357,2579
junyi_bkt_test,temporal,bkt,42,Alt_Quantile,dense,0.5022691340072936,0.6143682906688688,0.6139554087530965,9817
junyi_bkt_test,temporal,bkt,42,Alt_Quantile,medium,0.5018916953899182,0.6216696269982238,0.6216696269982238,4663
junyi_bkt_test,temporal,bkt,42,Alt_Quantile,sparse,0.5029239766081871,0.5311526479750778,0.5303738317757011,2380
junyi_bkt_test,temporal,bkt,42,Alt_Quantile,very_sparse,0.5064935064935064,0.6169354838709677,0.6149193548387097,900
