dataset,model,bucket,metric,published,recompute_5run,delta
assist2012,simplekt,dense,ece,0.1131,0.11312657262212092,2.6572622120912825e-05
assist2012,simplekt,medium,ece,0.1578,0.15525287398695162,-0.0025471260130483786
assist2012,simplekt,sparse,ece,0.2254,0.22502064677803713,-0.0003793532219628637
assist2012,simplekt,sparse,auc,0.7197,0.7178242752907135,-0.0018757247092865414
xes3g5m,dkt,sparse,auc,0.8547,0.8578106700666505,0.003110670066650445
xes3g5m,simplekt,sparse,auc,0.8455,0.8472225859182076,0.0017225859182076197
assist2012,simplekt,overall,auc,0.684,0.6840146861598861,1.4686159886090344e-05
assist2012,dkt,overall,auc,0.698,0.6980288864441158,2.8886444115805432e-05
xes3g5m,dkt,overall,auc,0.817,0.8169758527554215,-2.4147244578442972e-05
