agg,bucket,ece,ece_std,n_events,n_kcs
5run,dense,0.11312657262212092,0.007655425279292904,523481.0,146.2
5run,medium,0.15525287398695162,0.005129172215604504,6117.2,68.6
5run,sparse,0.22502064677803713,0.018425540401132746,412.6,38.2
4part,dense,0.1135585221010694,0.006585063323531242,523971.25,146.5
4part,medium,0.1541182367155132,0.005062647512604301,5963.0,68.25
4part,sparse,0.2280319869219327,0.01972837426013932,415.25,38.5
