dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
assist2012,temporal,dkt,42,sparse,R,28,3030,0.6244382221196201,0.5742574257425742,1.3583734258826832
assist2012,temporal,dkt,42,very_sparse,R,43,2250,0.5132348628667562,0.5035555555555555,1.0516216833084533
assist2012,temporal,dkt,2024,dense,R,145,521661,0.6639227233096918,0.6948861425331777,0.6246635306970459
assist2012,temporal,dkt,2024,medium,R,29,4558,0.5585340357507845,0.5440982887231242,1.1693290751024836
assist2012,temporal,dkt,2024,sparse,R,28,3030,0.6279415378657839,0.5610561056105611,1.2862774574074778
assist2012,temporal,dkt,2024,very_sparse,R,43,2250,0.4761658742401682,0.4675555555555555,1.249815605569002
assist2012,temporal,dkt,2025,dense,R,145,521661,0.6617184519202476,0.6930612025817533,0.630387306709956
assist2012,temporal,dkt,2025,medium,R,29,4558,0.5723364279398762,0.5677928916191312,1.1071576918038202
assist2012,temporal,dkt,2025,sparse,R,28,3030,0.6315346822208239,0.5996699669966997,1.205405569398046
assist2012,temporal,dkt,2025,very_sparse,R,43,2250,0.4766654562971303,0.4866666666666667,1.0436536850357572
assist2012,temporal,dkt,2026,dense,R,145,521661,0.6616380876248228,0.6942554647558472,0.6289517744495441
assist2012,temporal,dkt,2026,medium,R,29,4558,0.5525729401960929,0.5368582711715665,1.171045628082042
assist2012,temporal,dkt,2026,sparse,R,28,3030,0.5871737778654861,0.5214521452145214,1.207244534523945
assist2012,temporal,dkt,2026,very_sparse,R,43,2250,0.5067175509269075,0.4973333333333333,0.9323094228285872
assist2012,temporal,dkt,2027,dense,R,145,521661,0.6620968325174186,0.6948784747182557,0.6265861433118565
assist2012,temporal,dkt,2027,medium,R,29,4558,0.5684337214509629,0.5666959192628346,1.084225109580624
assist2012,temporal,dkt,2027,sparse,R,28,3030,0.6241361559685292,0.5613861386138614,1.324463062242995
assist2012,temporal,dkt,2027,very_sparse,R,43,2250,0.5311613292619427,0.5217777777777778,1.0597813975901085
assist2012,temporal,simplekt,42,dense,R,145,521661,0.6745145614790187,0.6817799298778325,0.7555906086142046
assist2012,temporal,simplekt,42,medium,R,29,4558,0.6084006305681182,0.5838086880210619,0.9635681364057292
assist2012,temporal,simplekt,42,sparse,R,28,3030,0.6117072276191788,0.6023102310231023,1.6743802562834975
assist2012,temporal,simplekt,42,very_sparse,R,43,2250,0.4745692424792592,0.4773333333333333,1.2653118198281104
assist2012,temporal,simplekt,2024,dense,R,145,521661,0.6759651672864841,0.6799281525741813,0.7458888419088292
assist2012,temporal,simplekt,2024,medium,R,29,4558,0.6031738171516496,0.5765686704695042,0.9629025775531204
assist2012,temporal,simplekt,2024,sparse,R,28,3030,0.6471071464476276,0.5957095709570958,1.2923098321875264
assist2012,temporal,simplekt,2024,very_sparse,R,43,2250,0.5497238489101394,0.5408888888888889,1.3624506882859266
assist2012,temporal,simplekt,2025,dense,R,145,521661,0.6747003424257956,0.6814387121138057,0.7449716745572221
assist2012,temporal,simplekt,2025,medium,R,29,4558,0.612685549261904,0.6035541904344011,0.994225686281934
