dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,learner_based,bkt,123,dense,145,464658,0.5,0.2891395391879619,24.552250503970146,0.8431254122679713,0.7108604608120381,0.7108604608120381,0.20553786606613494,0.5053225947459032,0.0
assist2012,learner_based,bkt,123,medium,69,2811,0.5,0.43080754180007114,19.659211039436887,0.7544484463499993,0.5691924581999288,0.5691924581999288,0.2452124037282511,0.3239800544716777,0.0
assist2012,learner_based,bkt,123,sparse,6,32,0.5,0.46875,18.3487249597963,0.7288689868556618,0.53125,0.53125,0.2490234375,0.2822265625,0.0
assist2012,learner_based,bkt,123,very_sparse,2,3,0.5,0.6666666666666666,11.512925464970229,0.5773502691896252,0.3333333333333333,0.3333333333333333,0.22222222222222224,0.1111111111111111,0.0
assist2012,learner_based,bkt,2024,dense,145,456142,0.5,0.28857461053794653,24.57176244829211,0.843460366266283,0.7114253894620535,0.7114253894620535,0.205299304690819,0.5061260847712344,0.0
assist2012,learner_based,bkt,2024,medium,69,2900,0.5,0.44620689655172413,19.12733616904364,0.7441727645165972,0.5537931034482758,0.5537931034482758,0.2471063020214031,0.3066868014268727,0.0
assist2012,learner_based,bkt,2024,sparse,5,28,0.5,0.5714285714285714,14.802332740676007,0.6546536707079764,0.42857142857142855,0.42857142857142855,0.24489795918367344,0.18367346938775508,0.0
assist2012,learner_based,bkt,2025,dense,145,464658,0.5,0.2891395391879619,24.552250503970146,0.8431254122679713,0.7108604608120381,0.7108604608120381,0.20553786606613494,0.5053225947459032,0.0
assist2012,learner_based,bkt,2025,medium,69,2811,0.5,0.43080754180007114,19.659211039436887,0.7544484463499993,0.5691924581999288,0.5691924581999288,0.2452124037282511,0.3239800544716777,0.0
assist2012,learner_based,bkt,2025,sparse,6,32,0.5,0.46875,18.3487249597963,0.7288689868556618,0.53125,0.53125,0.2490234375,0.2822265625,0.0
assist2012,learner_based,bkt,2025,very_sparse,2,3,0.5,0.6666666666666666,11.512925464970229,0.5773502691896252,0.3333333333333333,0.3333333333333333,0.22222222222222224,0.1111111111111111,0.0
assist2012,learner_based,bkt,2026,dense,145,451140,0.5,0.2875227202198874,24.60809345277952,0.8440836924026618,0.7124772797801125,0.7124772797801125,0.20485340557724377,0.5076238742028688,0.0
assist2012,learner_based,bkt,2026,medium,68,3636,0.5,0.4834983498349835,17.83933500265189,0.718680492406059,0.5165016501650165,0.5165016501650165,0.2497276955418314,0.2667739546231851,0.0
assist2012,learner_based,bkt,2026,sparse,7,29,0.5,0.4482758620689655,19.05587663167486,0.7427813527082067,0.5517241379310345,0.5517241379310345,0.2473246135552913,0.30439952437574314,0.0
assist2012,learner_based,bkt,2026,strict_cold_start,1,4,,0.0,0.6931471805599453,0.5,0.5,0.25,0.0,0.25,0.0
assist2012,learner_based,bkt,2026,very_sparse,2,2,0.5,0.5,17.269388197455342,0.7071067811865468,0.5,0.5,0.25,0.25,0.0
