dataset,split_mode,model,seed,bucket,bin_id,n_bin,conf_bin,acc_bin,gap_bin
junyi_bkt_test,temporal,bkt,2025,medium,2,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,3,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,4,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,5,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,6,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,7,2,0.5,1.0,0.5
junyi_bkt_test,temporal,bkt,2025,medium,8,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,9,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,10,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,11,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,12,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,13,0,,,
junyi_bkt_test,temporal,bkt,2025,medium,14,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,0,1329,0.0,0.5854025583145221,0.5854025583145221
junyi_bkt_test,temporal,bkt,2025,sparse,1,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,2,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,3,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,4,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,5,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,6,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,7,8,0.5,0.75,0.25
junyi_bkt_test,temporal,bkt,2025,sparse,8,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,9,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,10,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,11,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,12,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,13,0,,,
junyi_bkt_test,temporal,bkt,2025,sparse,14,0,,,
junyi_bkt_test,temporal,bkt,2025,very_sparse,0,188,0.0,0.5691489361702128,0.5691489361702128
