N_total,N_advance,N_incorrect,FAR,E_FAR,Excess_FAR,Miss,model,stratum
528018,284326,158623,0.19632745510435204,0.11250454782672373,0.08382290727762831,0.3519098743561779,SimpleKT,dense
444,235,197,0.2680851063829787,0.049905009472623794,0.21818009691035492,0.3197969543147208,SimpleKT,sparse
528018,315650,158623,0.1999239664185015,0.14716124334256772,0.05276272307593377,0.39783637933969224,DKT,dense
444,243,197,0.2962962962962963,0.05737647720815713,0.23891981908813914,0.36548223350253806,DKT,sparse
528018,351503,158623,0.20534390887133253,0.16341041543583626,0.041933493435496266,0.4550348940569779,GKT (train-only),dense
444,209,197,0.22009569377990432,0.15719692016902723,0.06289877361087709,0.233502538071066,GKT (train-only),sparse
528018,307479,158623,0.18518988288631094,0.1751496382185244,0.010040244667786552,0.3589769453357962,CL4KT (adapter),dense
444,200,197,0.24,0.11590934246778488,0.12409065753221511,0.2436548223350254,CL4KT (adapter),sparse
