dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_partitions
assist2012,dkt,dense,146.5,523971.25,0.6967696818413968,0.7185214609372095,0.5806101363867195,0.4394363633244142,0.06023880202426484,0.193105216874582,0.21029443691055671,0.005271715113781087,0.02225211191652647,1.2909944487358056,11453.53544762489,0.0013733306867931782,0.0013767496895824877,0.003993721841766608,0.0010872027552644198,0.002209888039199679,0.0009566649679569744,0.0002683565004891184,0.0005164126656357341,0.0003888651631244984,4
assist2012,dkt,medium,68.25,5963.0,0.7573819924906657,0.689695828740534,0.803747641893835,0.47904648160865293,0.16214330224478135,0.22969313189954566,0.24840887279092538,0.030107768870970306,0.047923112584497704,1.2583057392117911,539.0924472357841,0.014124315118990826,0.016163676649177346,0.08671495470238968,0.015102115914083192,0.025626580872254633,0.014416595545188612,0.0012768890377661466,0.008588612781773697,0.005279220168888906,4
assist2012,dkt,sparse,38.5,415.25,0.7286631460664809,0.6977597065515926,1.156822043871583,0.5001066269656894,0.23328866958437133,0.25018691581167957,0.233673387001529,0.06238729658827427,0.045122263427995246,1.290994448735806,32.18048062620155,0.01063034255974644,0.022439255822835943,0.06871862318996082,0.009859102918897616,0.008376460024870719,0.009820752318423314,0.012900539307857114,0.003758978721426942,0.0036854221425175024,4
assist2012,dkt,strict_cold_start,1.0,4.0,,0.5,0.7013106811193742,0.5016990752603808,0.5013766624033451,0.2540149807715272,0.0,0.2538825985160748,0.0,,,,,,,,,,,,1
assist2012,dkt,very_sparse,6.5,16.5,0.9369318181818183,0.8183899433899433,0.597391559243526,0.3664633158847727,0.17818880944384696,0.146407603916291,0.2458716219954981,0.08621804629824463,0.1848543984782746,0.5773502691896257,5.259911279353167,0.052955845997815484,0.06845234403951865,0.3957705160616279,0.12205520249105853,0.06657416651169251,0.07864654678431884,0.006164136805321749,0.042786003353238275,0.04496297134052101,4
assist2012,irt_1pl,dense,146.5,523971.25,0.5,0.6992616950401619,0.61151147890224,0.4585895635896163,0.0031172296126271426,0.21030445021295546,0.21029443691055671,1.0013302398699193e-05,0.0,1.2909944487358056,11453.53544762489,0.0,0.0006732796989810922,0.0005590605051867087,0.00028839704287912795,0.0006284180570921734,0.0002645044033202202,0.0002683565004891184,3.86983133994897e-06,0.0,4
assist2012,irt_1pl,medium,68.25,5963.0,0.5,0.5363479538737099,0.746569499019177,0.5236187947003159,0.1597965115538248,0.2742144416779883,0.24840887279092538,0.025805568887062917,0.0,1.2583057392117911,539.0924472357841,0.0,0.018972030580805613,0.01575291148105896,0.007099250155405197,0.018996272697251456,0.007453086101638936,0.0012768890377661466,0.006213781970796095,0.0,4
assist2012,irt_1pl,sparse,38.5,415.25,0.5,0.6183985953177469,0.6785551172388247,0.49159258601954325,0.07774587010978787,0.24202942218276868,0.233673387001529,0.008356035181239636,0.0,1.290994448735806,32.18048062620155,0.0,0.05547835163683689,0.04599950955718129,0.022095295227314262,0.05551714284328916,0.021766795987542654,0.012900539307857114,0.009026855479955607,0.0,4
assist2012,irt_1pl,strict_cold_start,1.0,4.0,,0.0,1.1915236678432282,0.6962419151353444,0.6962419151353444,0.4847528043913321,0.0,0.4847528043913321,0.0,,,,,,,,,,,,1
assist2012,irt_1pl,very_sparse,6.5,16.5,0.5,0.4716949716949717,0.800173654820599,0.5469543006589289,0.22444949373256307,0.2995798495449424,0.2458716219954981,0.05370822754944426,0.0,0.5773502691896257,5.259911279353167,0.0,0.06660533889665231,0.05525740302349689,0.023688042993443563,0.06663985106666419,0.026145989840514666,0.006164136805321749,0.03191914225617191,0.0,4
