policy,pop_Nadvance,pop_FAR,pop_Miss,sparse_Nadvance,sparse_FAR,sparse_Miss
A_global_tau07,287164,0.1969536571436531,0.35036704351866194,235,0.2680851063829787,0.3197969543147208
B_Reliable_only,286921,0.19689043325514688,0.3499581849155955,0,,0.0
C_sparse_tau08,287147,0.19694442219490366,0.3503298745547468,218,0.26146788990825687,0.2893401015228426
