dataset,split,fold,kc_id,test_events,ECE,log1p_f_train,difficulty_proxy,item_support,learner_exposure,curriculum_position_proxy
junyi,learner_based,0,ZTrivKluBU7pmaSFNu6x4a8QnBgW4kdz9KN9RcGKzn4=,1635,0.0932827691510547,8.728749873478527,0.140683179536992,25.0,816.0,0.52
junyi,learner_based,0,Za+UP8i5RYOzsfA98cUkUzKWLYcmHOg7TpQTWUNg1is=,2447,0.0766742483152873,9.09504174761272,0.3300785634118968,21.0,863.0,0.7979486939736592
junyi,learner_based,0,ZcwX8fZUrnZDOsvBOPux3Oaf1viIG83MNe5frh0jnQw=,1709,0.0986470894995943,8.739216115061744,0.2055430951618071,30.0,820.0,0.6634793165102199
junyi,learner_based,0,ZeqalmMEbu4L2j3EXlTLYacpBIa8eomjRPajfWZZD18=,3165,0.0895435162071038,9.36134324551271,0.4601427465818213,15.0,1006.0,0.4036697247706422
junyi,learner_based,0,ZfOvxkOK32fpHT6LuZQ7Iy1BUbJm78JuTpNnvl/t5HE=,160,0.1021831446327269,6.579251212010101,0.6634214186369958,28.0,66.0,0.686046511627907
junyi,learner_based,0,ZfijBfJmW6aiU5BUvf9fG0QF1XKo3pbEYQ8mYC94hT8=,1330,0.0862486620454635,8.307212626628308,0.3072556762092794,16.0,559.0,0.4571063207891852
junyi,learner_based,0,ZiB8YudXZGaYEDJxnFGFKxDYg7p21KMyv2iISc6REEQ=,1238,0.0528868818866248,8.316300249036848,0.5561261922230374,21.0,330.0,0.7155963302752294
junyi,learner_based,0,ZilXWSbduOENN7B3A3JpDKyx61nNdU+D7av0CVJeIL0=,3543,0.0566025151351465,9.551373619924956,0.0850458650359098,20.0,1725.0,0.427807486631016
junyi,learner_based,0,ZlHr1zKJsK/9HFeradx6cAyqADDSSyihZ9XHBS1PfyU=,115,0.190903831694437,5.8944028342648505,0.3535911602209944,20.0,37.0,0.5904363431932191
junyi,learner_based,0,Zo5OH3GyWGn52CiWFk1qCg8zwtyTw2CzekYXwgDtx0Y=,1517,0.1256174925560022,8.722417141427496,0.3255131964809384,28.0,684.0,0.5509929770692479
junyi,learner_based,0,a3YtCNan74n5yr33mRTziRBk7zjFI9XrLXC0Wtp8kWU=,2176,0.0823891051376823,8.950273466557375,0.1648722272668309,16.0,1149.0,0.6724267468069121
junyi,learner_based,0,a3dIrvVFRsNUndL0o6tSC2evd4XhhCObHWe0OO0WemU=,1805,0.0735012407571985,8.79920924224139,0.3963488231744115,35.0,566.0,0.4987792409206043
junyi,learner_based,0,a8gAVDPDmrxf2poDVj1SEcQl7lX57osmdVFS1+Z+4K0=,2362,0.0918043696873164,9.101417964751995,0.4764135162261625,16.0,747.0,0.5732647814910026
junyi,learner_based,0,a9UEy8sIwRzT8QudLWkrjcWrb+ZKuiVhcEiPQih1o38=,1485,0.0927844689023815,8.722254235179681,0.2119928303731465,15.0,813.0,0.6598639455782312
junyi,learner_based,0,aAZFwEYHULAK1AbQLXDXQjqU9JfJoEu1QZ5bv/EYlVs=,2099,0.0701308297530249,8.822911626354117,0.3369677324296449,16.0,737.0,0.7054032039098561
junyi,learner_based,0,aMxsQs5rzVMmcHNmhMRVuUQ33IDNVp8fYkEdofpRbQI=,1316,0.1011025582958227,8.300528606199737,0.4146583850931676,16.0,470.0,0.4533152909336941
junyi,learner_based,0,aMy+V/IgYkfzzxp0JhGeJIW3f3X4rBOZf/UgsI2IX/4=,2611,0.110282519963516,9.015541293671117,0.4272694130514035,20.0,724.0,0.3141592920353982
junyi,learner_based,0,aQtj+vhFKWn0qz527tbi3q254EkieQ0rqf8dS5yw+m0=,2639,0.1110844628291797,9.1801903950253,0.2555143269428983,16.0,1120.0,0.4434239888423988
junyi,learner_based,0,aQys6A/5FjGwd7dQ0KQ4h/5zmPrM7lbkwj2ZkuhMepo=,5561,0.07267820072948,9.933580192843298,0.1152353226589034,20.0,2465.0,0.353140510055833
junyi,learner_based,0,aUZfbM1yIpHJBCb6q2Ibl75Ix+02UZ4ihUKYjUtEhkA=,1067,0.0717526862760892,8.369388996647842,0.4213821892393321,14.0,330.0,0.786649528706084
junyi,learner_based,0,aWIZnPhyDCMR9yuVS0hy2iEHURPnHdsUNDkz0hzDL3o=,623,0.0907441912896118,6.983789965258135,0.4424860853432282,7.0,107.0,0.6399616480712895
junyi,learner_based,0,aaltH7YODgrsZuZYKu16qokv/Z+TofzVxU6Ai/dDhl8=,3695,0.0737123297061141,9.384965722135666,0.3187200806248426,22.0,1407.0,0.5
junyi,learner_based,0,aaqqTl3AwAAh2Zu0fBTrKYA+Jgnh5Xcn3VznWez5WJU=,1347,0.083712011406996,8.42639282708974,0.4668127053669222,20.0,374.0,0.6357786357786358
junyi,learner_based,0,abZeR/hnIssN0A8N+KhGYvmhrlPuBAPZSPOCXwLIQd0=,456,0.0943322610436824,7.340835554123275,0.3024010382868267,16.0,220.0,0.6481481481481481
junyi,learner_based,0,ad/P0gKMpXTOaZ/ShZQX2Y5m7BBidPE5CT858fakoAo=,5198,0.0893096744980327,9.772068213669291,0.3056569343065693,27.0,1857.0,0.4262610465812477
junyi,learner_based,0,afFEQbum8M2N2a175IzVSs8+P894DSA/3Y10COWsVeA=,1055,0.0753322965399278,8.20903626577507,0.6221072692621835,20.0,234.0,0.8848314606741573
junyi,learner_based,0,aiQx7FTmtkEzQOA5cGnbKrlqzKkK4IAgGnwNsgrBuC4=,2844,0.0730357562635833,9.284241179815718,0.2272896154560654,16.0,1253.0,0.5804803631560342
junyi,learner_based,0,aidk3wnxk2e9xbBQTP0plmVgHqsXqGF9OT93vKcIMdE=,2822,0.1096800789025808,9.12923877053914,0.3540130151843818,26.0,889.0,0.3511782284930432
junyi,learner_based,0,ap9wOXDnXVFePVnnpscqo0DFNvaLEzP+JC5FyWOxYI8=,100,0.1858600809425115,4.890349128221754,0.5606060606060606,20.0,13.0,0.6273306048203728
junyi,learner_based,0,apFEy2v1Cp11xrY8+93ALiMxibD9kdla4EDA1KJdSm0=,1556,0.1269822641447004,8.445267451844648,0.188091143594153,16.0,742.0,0.4657683294275192
