dataset,model,role,tau,bucket,flag,n_kcs,n_events,mean_y,mean_p,n_advance,n_remediate,FM,Miss,UR,acc_at_tau,E_FM_calibrated,excess_FM,N_incorrect
assist2012,dkt,primary,0.7,dense,R,147,528018,0.6995878928369866,0.7042337834997361,315650,212368,0.1999239664185015,0.3978363793396922,0.3163307570486877,0.6591839672132389,0.1471612433425677,0.0527627230759337,158623
assist2012,dkt,primary,0.7,sparse,L,38,444,0.5563063063063063,0.6082433457689439,243,201,0.2962962962962963,0.365482233502538,0.3076923076923077,0.6666666666666666,0.0573764772081571,0.2389198190881391,197
assist2012,simplekt,primary,0.7,dense,R,147,528018,0.6995878928369866,0.6737531741171788,284326,243692,0.196327455104352,0.3519098743561779,0.3814074364839805,0.6274539883110045,0.1125045478267237,0.0838229072776283,158623
assist2012,simplekt,primary,0.7,sparse,L,38,444,0.5563063063063063,0.5974524709266361,235,209,0.2680851063829787,0.3197969543147208,0.3036437246963562,0.6891891891891891,0.0499050094726237,0.2181800969103549,197
assist2012,gkt_train_only,secondary,0.7,dense,R,147,528018,0.6995878928369866,0.730242706491539,351503,176515,0.2053439088713325,0.4550348940569779,0.2438338364081809,0.6927188088284869,0.1634104154358362,0.0419334934354962,158623
assist2012,gkt_train_only,secondary,0.7,sparse,L,38,444,0.5563063063063063,0.6057191144272283,209,235,0.2200956937799043,0.233502538071066,0.340080971659919,0.7072072072072072,0.1571969201690272,0.062898773610877,197
assist2012,cl4kt,secondary,0.7,dense,R,147,528018,0.6995878928369866,0.7039861395287434,307479,220539,0.1851898828863109,0.3589769453357962,0.3217639654028885,0.6670568048816518,0.1751496382185244,0.0100402446677865,158623
assist2012,cl4kt,secondary,0.7,sparse,L,38,444,0.5563063063063063,0.5670194645959733,200,244,0.24,0.2436548223350254,0.3846153846153846,0.6779279279279279,0.1159093424677848,0.1240906575322151,197
